epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3169,1.88905,3.07687,1.69363,0.67838,0.45679,0.46468,0.27038,1.63468,1.79168,1.59773,0.000194202,0.000194202,0.000194202
2,80.0711,1.58188,1.8796,1.50179,0.71257,0.53365,0.58116,0.34139,1.46003,1.45517,1.46337,0.000377325,0.000377325,0.000377325
3,117.592,1.44866,1.6417,1.41407,0.76459,0.61016,0.65512,0.37521,1.42393,1.34542,1.39307,0.000547513,0.000547513,0.000547513
4,154.682,1.38342,1.52111,1.37269,0.79811,0.61344,0.68956,0.41441,1.34808,1.26224,1.34109,0.000529788,0.000529788,0.000529788
5,192,1.31525,1.42019,1.33465,0.8104,0.61903,0.70549,0.44196,1.28421,1.15604,1.28137,0.000510384,0.000510384,0.000510384
6,229.305,1.28305,1.35635,1.30681,0.67343,0.76537,0.78233,0.49698,1.18925,1.07184,1.25287,0.00049098,0.00049098,0.00049098
7,266.092,1.22197,1.28546,1.27601,0.62565,0.74597,0.77765,0.50149,1.14106,1.05362,1.20551,0.000471576,0.000471576,0.000471576
8,302.857,1.19685,1.24457,1.25987,0.63678,0.76368,0.77327,0.52588,1.08979,1.02795,1.17397,0.000452172,0.000452172,0.000452172
9,339.412,1.17549,1.20058,1.24205,0.70083,0.81363,0.79813,0.54586,1.07238,0.9897,1.15082,0.000432768,0.000432768,0.000432768
10,376.354,1.14708,1.16008,1.22224,0.7312,0.84719,0.81281,0.54414,1.04671,0.95189,1.14642,0.000413364,0.000413364,0.000413364
11,413.812,1.11444,1.12485,1.21028,0.68589,0.78819,0.79121,0.55306,0.99858,0.9637,1.12013,0.00039396,0.00039396,0.00039396
12,450.96,1.11144,1.11484,1.2094,0.77009,0.83956,0.85601,0.59269,1.02686,0.92561,1.12172,0.000374556,0.000374556,0.000374556
13,487.87,1.08639,1.08065,1.19468,0.82668,0.78149,0.85509,0.58241,0.99717,0.91886,1.10269,0.000355152,0.000355152,0.000355152
14,524.787,1.07132,1.06296,1.1777,0.75185,0.81174,0.84119,0.58348,0.97047,0.88758,1.09225,0.000335748,0.000335748,0.000335748
15,562.077,1.06065,1.04033,1.17604,0.72861,0.83052,0.84699,0.60409,0.94738,0.87694,1.07679,0.000316344,0.000316344,0.000316344
16,598.751,1.03415,1.0169,1.1605,0.7692,0.78197,0.83388,0.6091,0.92499,0.83842,1.06506,0.00029694,0.00029694,0.00029694
17,635.323,1.01002,0.99336,1.15272,0.7785,0.82228,0.85128,0.62832,0.8989,0.83125,1.05128,0.000277536,0.000277536,0.000277536
18,671.742,1.01008,0.98299,1.14959,0.7433,0.81714,0.84969,0.6304,0.88766,0.8113,1.04274,0.000258132,0.000258132,0.000258132
19,708.474,0.99145,0.95527,1.13246,0.78107,0.78432,0.85574,0.6278,0.88778,0.80419,1.03749,0.000238728,0.000238728,0.000238728
20,745.637,0.97756,0.95483,1.12991,0.85623,0.78472,0.8705,0.65694,0.85561,0.80405,1.0278,0.000219324,0.000219324,0.000219324
21,825.525,0.96382,0.94598,1.13003,0.77822,0.85459,0.87181,0.6406,0.88064,0.78394,1.03634,0.00019992,0.00019992,0.00019992
22,861.697,0.92982,0.91255,1.10902,0.82713,0.78594,0.86198,0.65496,0.84947,0.81528,1.02031,0.000180516,0.000180516,0.000180516
23,897.989,0.9106,0.8995,1.09973,0.81507,0.82022,0.87059,0.66348,0.8236,0.78477,1.0056,0.000161112,0.000161112,0.000161112
24,934.554,0.89578,0.87376,1.09109,0.88512,0.78796,0.8685,0.65931,0.82288,0.77839,0.99991,0.000141708,0.000141708,0.000141708
25,970.897,0.87083,0.85143,1.07943,0.79896,0.80907,0.86773,0.67051,0.80439,0.73662,0.98854,0.000122304,0.000122304,0.000122304
26,1007.27,0.85825,0.83735,1.07476,0.80256,0.85869,0.89395,0.68786,0.79564,0.72681,0.98801,0.0001029,0.0001029,0.0001029
27,1043.93,0.84858,0.83017,1.07415,0.85576,0.84078,0.89149,0.69809,0.76804,0.72537,0.97104,8.3496e-05,8.3496e-05,8.3496e-05
28,1080.86,0.83153,0.82051,1.06266,0.79162,0.85945,0.88173,0.69632,0.74861,0.71274,0.96375,6.4092e-05,6.4092e-05,6.4092e-05
29,1117.43,0.81235,0.79971,1.05363,0.8176,0.85473,0.8793,0.70194,0.73969,0.69799,0.95623,4.4688e-05,4.4688e-05,4.4688e-05
30,1154.23,0.81219,0.79444,1.05234,0.79723,0.83306,0.8821,0.70719,0.74037,0.6851,0.95553,2.5284e-05,2.5284e-05,2.5284e-05
