epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3622,1.88905,3.07687,1.69363,0.67838,0.45679,0.46468,0.27038,1.63468,1.79168,1.59773,0.000194202,0.000194202,0.000194202
2,90.0168,1.58251,1.87278,1.50032,0.71767,0.57696,0.60267,0.35597,1.48935,1.46406,1.49588,0.000370887,0.000370887,0.000370887
3,130.011,1.44195,1.64616,1.4136,0.69333,0.6017,0.59465,0.33629,1.42782,1.40437,1.3781,0.000528168,0.000528168,0.000528168
4,169.584,1.37437,1.51248,1.3669,0.79678,0.62617,0.71619,0.43399,1.29425,1.28745,1.30874,0.000500682,0.000500682,0.000500682
5,209.275,1.31105,1.40263,1.33237,0.77509,0.68579,0.73583,0.46366,1.20772,1.14209,1.27739,0.000471576,0.000471576,0.000471576
6,249.029,1.27165,1.34904,1.30159,0.77264,0.71397,0.80047,0.5101,1.20699,1.08012,1.24804,0.00044247,0.00044247,0.00044247
7,288.908,1.21363,1.27946,1.2734,0.73606,0.74237,0.80093,0.51324,1.16332,1.0239,1.19664,0.000413364,0.000413364,0.000413364
8,328.253,1.1917,1.23623,1.25778,0.71616,0.7919,0.79194,0.52528,1.10173,1.03152,1.17951,0.000384258,0.000384258,0.000384258
9,370.014,1.1621,1.19838,1.23835,0.72489,0.81874,0.78775,0.53986,1.05172,0.9753,1.13789,0.000355152,0.000355152,0.000355152
10,409.584,1.13306,1.16179,1.21799,0.70021,0.80187,0.82106,0.56165,1.02881,0.9375,1.14072,0.000326046,0.000326046,0.000326046
11,502.445,1.11473,1.19548,1.22412,0.7486,0.7728,0.80164,0.54832,1.01462,0.98487,1.13416,0.00029694,0.00029694,0.00029694
12,545.91,1.06496,1.13255,1.20096,0.74001,0.77932,0.80626,0.55199,0.9912,0.98458,1.11565,0.000267834,0.000267834,0.000267834
13,590.439,1.04007,1.09511,1.18201,0.82038,0.76989,0.82756,0.57887,0.96479,0.91408,1.09421,0.000238728,0.000238728,0.000238728
14,631.444,1.01166,1.0486,1.16291,0.73223,0.88342,0.85442,0.59751,0.95061,0.88444,1.08591,0.000209622,0.000209622,0.000209622
15,674.057,0.9741,1.01366,1.14435,0.74049,0.84874,0.83712,0.59523,0.93791,0.87906,1.07202,0.000180516,0.000180516,0.000180516
16,713.236,0.96372,1.00286,1.14065,0.77652,0.80033,0.84786,0.62099,0.90368,0.84296,1.05918,0.00015141,0.00015141,0.00015141
17,751.638,0.94941,0.98111,1.13022,0.78857,0.85475,0.86302,0.6337,0.89686,0.82834,1.05118,0.000122304,0.000122304,0.000122304
18,791.509,0.91447,0.95575,1.10881,0.7792,0.79901,0.85931,0.64168,0.86257,0.8196,1.02677,9.3198e-05,9.3198e-05,9.3198e-05
19,830.684,0.892,0.92781,1.09776,0.78077,0.86079,0.84453,0.64471,0.83719,0.79737,1.01254,6.4092e-05,6.4092e-05,6.4092e-05
20,868.077,0.87608,0.92415,1.09243,0.787,0.8678,0.85571,0.6605,0.81801,0.79102,1.00564,3.4986e-05,3.4986e-05,3.4986e-05
