epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.097,1.30006,6.69638,1.43972,0.115,0.88462,0.20015,0.11712,1.31797,4.62667,1.29945,0.00010584,0.00010584,0.00010584
2,267.056,1.37529,4.50677,1.47403,0.05917,0.96154,0.28019,0.16222,1.43911,4.34962,1.33798,0.000213252,0.000213252,0.000213252
3,392.388,1.32798,3.78147,1.40226,0.05083,1,0.2379,0.12913,1.48444,3.86601,1.36573,0.000316241,0.000316241,0.000316241
4,517.762,1.29329,3.98352,1.37593,0.09981,0.13462,0.21633,0.11451,1.39702,3.62423,1.39615,0.000414805,0.000414805,0.000414805
