epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,134.784,1.52753,2.80946,3.3879,1.78452,0.05006,0.36905,0.1783,0.092,0.04969,0.45833,0.18986,0.09248,1.62442,4.17969,4.42175,1.6309,8.38139e-05,8.38139e-05,8.38139e-05
29,139.413,1.4756,2.88018,3.29102,1.63867,0.04626,0.36905,0.18163,0.09692,0.04581,0.45833,0.1916,0.09176,1.63241,4.10074,4.38578,1.61751,8.32203e-05,8.32203e-05,8.32203e-05
30,144.11,1.49768,2.97748,3.43863,1.70749,0.04626,0.36905,0.18163,0.09692,0.04581,0.45833,0.1916,0.09176,1.63241,4.10074,4.38578,1.61751,8.23625e-05,8.23625e-05,8.23625e-05
31,148.882,1.49135,2.63171,3.31397,1.65492,0.04634,0.36905,0.19207,0.1045,0.04583,0.45833,0.19993,0.0971,1.60156,4.03717,4.37382,1.59123,8.12406e-05,8.12406e-05,8.12406e-05
32,153.564,1.48203,2.76036,3.3388,1.74066,0.04634,0.36905,0.19207,0.1045,0.04583,0.45833,0.19993,0.0971,1.60156,4.03717,4.37382,1.59123,7.98546e-05,7.98546e-05,7.98546e-05
33,158.12,1.47104,2.60803,3.19943,1.68831,0.04398,0.40476,0.19754,0.1083,0.0419,0.45833,0.20556,0.10379,1.55089,4.01665,4.38444,1.58079,7.82044e-05,7.82044e-05,7.82044e-05
34,162.613,1.4315,2.57426,3.13761,1.65286,0.04398,0.40476,0.19754,0.1083,0.0419,0.45833,0.20556,0.10379,1.55089,4.01665,4.38444,1.58079,7.62901e-05,7.62901e-05,7.62901e-05
35,167.318,1.40969,2.9827,2.97543,1.61333,0.04137,0.40476,0.20774,0.11581,0.0393,0.45833,0.20077,0.11601,1.49047,3.90243,4.38914,1.57439,7.41117e-05,7.41117e-05,7.41117e-05
36,171.995,1.54056,2.90126,3.05859,1.71917,0.04137,0.40476,0.20774,0.11581,0.0393,0.45833,0.20077,0.11601,1.49047,3.90243,4.38914,1.57439,7.16692e-05,7.16692e-05,7.16692e-05
37,176.852,1.46281,2.55129,3.1735,1.69238,0.04122,0.36905,0.20229,0.11439,0.03968,0.33333,0.19559,0.10685,1.46166,3.85112,4.35964,1.57624,6.89625e-05,6.89625e-05,6.89625e-05
38,181.424,1.50438,2.53837,3.1448,1.64007,0.04122,0.36905,0.20229,0.11439,0.03968,0.33333,0.19559,0.10685,1.46166,3.85112,4.35964,1.57624,6.59916e-05,6.59916e-05,6.59916e-05
39,185.916,1.56446,2.47594,3.03206,1.76853,0.04029,0.36905,0.20501,0.11559,0.03865,0.33333,0.19525,0.10551,1.50214,3.78849,4.35347,1.61055,6.27567e-05,6.27567e-05,6.27567e-05
40,190.537,1.47915,2.46426,3.00775,1.62741,0.04029,0.36905,0.20501,0.11559,0.03865,0.33333,0.19525,0.10551,1.50214,3.78849,4.35347,1.61055,5.92576e-05,5.92576e-05,5.92576e-05
41,195.039,1.38379,2.14766,3.12284,1.59752,0.03794,0.36905,0.20773,0.1159,0.03632,0.33333,0.19496,0.10607,1.52363,3.71723,4.32783,1.65092,5.54944e-05,5.54944e-05,5.54944e-05
42,199.373,1.43623,2.19813,3.1441,1.75995,0.03794,0.36905,0.20773,0.1159,0.03632,0.33333,0.19496,0.10607,1.52363,3.71723,4.32783,1.65092,5.14671e-05,5.14671e-05,5.14671e-05
43,204.126,1.3859,2.25677,3.12385,1.66749,0.03558,0.36905,0.21186,0.11936,0.03499,0.45833,0.21059,0.11464,1.5683,3.65045,4.29104,1.67739,4.71756e-05,4.71756e-05,4.71756e-05
44,208.789,1.44452,2.18324,3.12825,1.71924,0.03558,0.36905,0.21186,0.11936,0.03499,0.45833,0.21059,0.11464,1.5683,3.65045,4.29104,1.67739,4.262e-05,4.262e-05,4.262e-05
45,213.346,1.33653,2.15179,3.04159,1.56957,0.03506,0.36905,0.23031,0.13179,0.03442,0.45833,0.22902,0.12499,1.59617,3.62724,4.28966,1.70993,3.78002e-05,3.78002e-05,3.78002e-05
46,217.921,1.46948,2.27614,2.93179,1.753,0.03506,0.36905,0.23031,0.13179,0.03442,0.45833,0.22902,0.12499,1.59617,3.62724,4.28966,1.70993,3.27163e-05,3.27163e-05,3.27163e-05
47,222.426,1.27771,2.18183,2.87804,1.59808,0.03399,0.36905,0.23177,0.13177,0.03329,0.45833,0.22415,0.12496,1.5946,3.62448,4.28347,1.73142,2.73683e-05,2.73683e-05,2.73683e-05
48,226.672,1.35162,2.24437,2.94731,1.69916,0.03399,0.36905,0.23177,0.13177,0.03329,0.45833,0.22415,0.12496,1.5946,3.62448,4.28347,1.73142,2.17562e-05,2.17562e-05,2.17562e-05
49,231.486,1.55218,2.40771,3.16881,1.81796,0.03123,0.36905,0.23156,0.12881,0.03069,0.45833,0.22292,0.12468,1.60008,3.63923,4.26382,1.74422,1.58799e-05,1.58799e-05,1.58799e-05
50,235.749,1.28488,2.07935,2.74976,1.61275,0.03123,0.36905,0.23156,0.12881,0.03069,0.45833,0.22292,0.12468,1.60008,3.63923,4.26382,1.74422,9.73953e-06,9.73953e-06,9.73953e-06
